Row,Temp,Reflux,Stages,Feed_x,xD,xB,QC,QR
1,80,2.0,10,0.5,0.8429,0.0373,632.5,660.1
2,60,2.0,10,0.3,0.5258,0.0122,623.95,695.95
3,60,2.0,10,0.5,0.5258,0.0122,623.9,695.9
4,60,2.0,10,0.7,0.9865,0.2904,651.8,701.6
5,70,2.0,10,0.3,0.5257,0.0123,623.96,678.64
6,70,2.0,10,0.5,0.8433,0.0367,632.47,677.8
7,70,2.0,10,0.7,0.9862,0.2908,651.87,684.51
8,80,2.0,10,0.3,0.5255,0.0125,623.97,660.89
9,80,2.0,10,0.7,0.9859,0.2913,651.91,666.93
10,90,2.0,10,0.5,0.8424,0.038,632.57,642.05
11,80,2.5,10,0.5,0.8491,0.0288,737.14,764.99
12,60,2.5,10,0.3,0.5278,0.0097,727.8,799.85
13,60,2.5,10,0.5,0.8497,0.0281,737.07,799.87
14,60,2.5,10,0.7,0.9903,0.2851,759.86,809.75
15,70,2.5,10,0.3,0.5277,0.0098,727.81,782.54
16,70,2.5,10,0.5,0.8494,0.0285,737.1,782.66
17,70,2.5,10,0.7,0.9901,0.2853,759.89,792.62
18,80,2.5,10,0.3,0.5276,0.0099,727.81,764.78
19,80,2.5,10,0.7,0.9899,0.2856,759.92,775.04
20,90,2.5,10,0.5,0.8488,0.0292,737.18,746.88
21,80,3.0,10,0.5,0.8531,0.0235,841.86,869.86
22,60,3.0,10,0.3,0.5291,0.008,831.66,903.75
23,60,3.0,10,0.5,0.8535,0.023,841.81,904.75
24,60,3.0,10,0.7,0.9924,0.282,868.01,917.95
25,70,3.0,10,0.3,0.529,0.0081,831.66,886.43
26,70,3.0,10,0.5,0.8533,0.0232,841.83,887.53
27,70,3.0,10,0.7,0.9923,0.2821,868.03,900.82
28,80,3.0,10,0.3,0.529,0.0082,831.67,868.67
29,80,3.0,10,0.7,0.9922,0.2823,868.05,883.23
30,90,3.0,10,0.5,0.8529,0.0237,841.89,851.74
